attendee,total
Alan Bernstein	$97,794
Anthony Bravo	$48,542
Dave Muir	$46,541
David Green	$120,980
David Muir	$1,997
Diane Sandoval	$23,570
Gina Sanchez	$108,477
Gina Zapanta-Murphy	$6,814
Herman Santos	$219,803
James Harris	$3,181
John Barger	$31,309
Joseph Kelly	$53,969
Keith Knox	$5,649
Les Robbins	$24,096
Marvin Adams	$46,495
Michael Schneider	$37,219
Ronald Okum	$20,358
Shawn Kehoe	$135,659
Thomas Walsh	$17,929
Valerie Villarreal	$23,141
Vivian Gray	$115,589
Wayne Moore	$88,186
William De La Garza	$3,183
William Pryor	$17,513
Yves Chery	$42,874
