District Address     Street       SideType   Address   OnStreet     CommonName          BotanicalName               Latitude        Longitude
    246       6636   26TH ST /E   Front         6636   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98819047         -118.139404
    246       6636   26TH ST /E   Front         6636   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98814711       -118.1393675
    246       6636   26TH ST /E   Front         6636   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98806538       -118.1392573
    246       6644   26TH ST /E   Front         6644   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98791062       -118.1391143
    246       6644   26TH ST /E   Front         6644   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98782931       -118.1390399
    246       6644   26TH ST /E   Front         6644   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98777635       -118.1389878
    246       6644   26TH ST /E   Front         6644   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98770701       -118.1389193
    246       6644   26TH ST /E   Front         6644   26TH ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98765962         -118.138868
    246       6651   26TH ST /E   Front         6651   26TH ST /E   VACANT SITE         Vacant site                    33.98878773       -118.1397547
    246       6651   26TH ST /E   Front         6651   26TH ST /E   VACANT SITE         Vacant site                    33.98868263       -118.1396503
    246       6651   26TH ST /E   Front         6651   26TH ST /E   QUEEN PALM          Syagrus romanzoffianum         33.98858453       -118.1395689
    246       6651   26TH ST /E   Front         6651   26TH ST /E   VACANT SITE         Vacant site                    33.98851901       -118.1394807
    246       6651   26TH ST /E   Front         6651   26TH ST /E   LEMON BOTTLEBRUSH   Melaleuca citrina              33.98843341       -118.1394064
    246       6651   26TH ST /E   Front         6651   26TH ST /E   VACANT SITE         Vacant site                    33.98833998       -118.1393181
    246       6651   26TH ST /E   Front         6651   26TH ST /E   QUEEN PALM          Syagrus romanzoffianum         33.98824448       -118.1392461
    246       6651   26TH ST /E   Front         6651   26TH ST /E   LEMON BOTTLEBRUSH   Melaleuca citrina              33.98815775          -118.13918
    246       6651   26TH ST /E   Front         6651   26TH ST /E   LEMON BOTTLEBRUSH   Melaleuca citrina              33.98805761       -118.1390598
    246       6651   26TH ST /E   Front         6651   26TH ST /E   LEMON BOTTLEBRUSH   Melaleuca citrina                33.9879757        -118.138976
    246       6651   26TH ST /E   Front         6651   26TH ST /E   LEMON BOTTLEBRUSH   Melaleuca citrina                33.9878946      -118.1389034
    246       5801   61ST ST /E   Front         5801   61ST ST /E   ORNAMENTAL PEAR     Pyrus calleryana                 33.9811108      -118.1625079
    246       5801   61ST ST /E   Front         5801   61ST ST /E   ORNAMENTAL PEAR     Pyrus calleryana               33.98109555       -118.1624614
    246       5801   61ST ST /E   Front         5801   61ST ST /E   CARROTWOOD          Cupaniopsis anacardioides      33.98108167       -118.1623149
