"id","country","age","month","visitors"
"1","Japan","Total","1/1/2010",209184
"2","Japan","0-20","1/1/2010",10530
"3","Japan","21-30","1/1/2010",42077
"4","Japan","31-40","1/1/2010",43196
"5","Japan","41-50","1/1/2010",40045
"6","Japan","51-60","1/1/2010",39852
"7","Japan","61+","1/1/2010",31416
"8","Taiwan","Total","1/1/2010",36399
"9","Taiwan","0-20","1/1/2010",7163
"10","Taiwan","21-30","1/1/2010",8858
"11","Taiwan","31-40","1/1/2010",9290
"12","Taiwan","41-50","1/1/2010",6510
"13","Taiwan","51-60","1/1/2010",2786
"14","Taiwan","61+","1/1/2010",1379
"15","Hong Kong","Total","1/1/2010",14545
"16","Hong Kong","0-20","1/1/2010",943
"17","Hong Kong","21-30","1/1/2010",5044
"18","Hong Kong","31-40","1/1/2010",3980
"19","Hong Kong","41-50","1/1/2010",2488
"20","Hong Kong","51-60","1/1/2010",1171
"21","Hong Kong","61+","1/1/2010",358
"22","Thailand","Total","1/1/2010",17814
"23","Thailand","0-20","1/1/2010",1424
"24","Thailand","21-30","1/1/2010",3681
"25","Thailand","31-40","1/1/2010",4371
"26","Thailand","41-50","1/1/2010",2765
"27","Thailand","51-60","1/1/2010",1632
"28","Thailand","61+","1/1/2010",588
"29","Malaysia","Total","1/1/2010",4559
"30","Malaysia","0-20","1/1/2010",194
"31","Malaysia","21-30","1/1/2010",1046
"32","Malaysia","31-40","1/1/2010",1100
"33","Malaysia","41-50","1/1/2010",660
"34","Malaysia","51-60","1/1/2010",359
"35","Malaysia","61+","1/1/2010",108
"36","Philippines","Total","1/1/2010",21214
"37","Philippines","0-20","1/1/2010",179
"38","Philippines","21-30","1/1/2010",1661
"39","Philippines","31-40","1/1/2010",2786
"40","Philippines","41-50","1/1/2010",1289
"41","Philippines","51-60","1/1/2010",591
"42","Philippines","61+","1/1/2010",148
"43","Indonesia","Total","1/1/2010",5061
"44","Indonesia","0-20","1/1/2010",202
"45","Indonesia","21-30","1/1/2010",939
"46","Indonesia","31-40","1/1/2010",951
"47","Indonesia","41-50","1/1/2010",443
"48","Indonesia","51-60","1/1/2010",240
"49","Indonesia","61+","1/1/2010",63
"50","Singapore","Total","1/1/2010",5368
"51","Singapore","0-20","1/1/2010",297
"52","Singapore","21-30","1/1/2010",1034
"53","Singapore","31-40","1/1/2010",1304
"54","Singapore","41-50","1/1/2010",1089
"55","Singapore","51-60","1/1/2010",568
"56","Singapore","61+","1/1/2010",128
"57","Myanmar","Total","1/1/2010",4594
"58","Myanmar","0-20","1/1/2010",7
"59","Myanmar","21-30","1/1/2010",391
"60","Myanmar","31-40","1/1/2010",384
"61","Myanmar","41-50","1/1/2010",151
"62","Myanmar","51-60","1/1/2010",63
"63","Myanmar","61+","1/1/2010",8
"64","Vietnam","Total","1/1/2010",4515
"65","Vietnam","0-20","1/1/2010",97
"66","Vietnam","21-30","1/1/2010",1295
"67","Vietnam","31-40","1/1/2010",739
"68","Vietnam","41-50","1/1/2010",391
"69","Vietnam","51-60","1/1/2010",325
"70","Vietnam","61+","1/1/2010",57
"71","India","Total","1/1/2010",6026
"72","India","0-20","1/1/2010",159
"73","India","21-30","1/1/2010",1019
"74","India","31-40","1/1/2010",1138
"75","India","41-50","1/1/2010",675
"76","India","51-60","1/1/2010",372
"77","India","61+","1/1/2010",168
"78","Sri Lanka","Total","1/1/2010",648
"79","Sri Lanka","0-20","1/1/2010",2
"80","Sri Lanka","21-30","1/1/2010",221
"81","Sri Lanka","31-40","1/1/2010",206
"82","Sri Lanka","41-50","1/1/2010",26
"83","Sri Lanka","51-60","1/1/2010",13
"84","Sri Lanka","61+","1/1/2010",5
"85","Pakistan","Total","1/1/2010",714
