fips,place,pop,nonhisp,hispanic,hisppct,white,whitepct,black,blackpct,asian,asianpct,other,otherpct,majmin,nonwhitepct,blackplu,hispplu,whiteplu,county,state,apstate
01001,"Autauga County, Alabama",55049,53633,1416,2.57,41663,75.68,10113,18.37,444,0.81,1413,2.57,No,24.32,No,No,Yes,Autauga County,Alabama,Ala.
01003,"Baldwin County, Alabama",199510,190798,8712,4.37,165950,83.18,18406,9.23,1325,0.66,5117,2.56,No,16.82,No,No,Yes,Baldwin County,Alabama,Ala.
01005,"Barbour County, Alabama",26614,25467,1147,4.31,12212,45.89,12745,47.89,118,0.44,392,1.47,Yes,54.11,Yes,No,No,Barbour County,Alabama,Ala.
01007,"Bibb County, Alabama",22572,22070,502,2.22,16876,74.77,4788,21.21,14,0.06,392,1.74,No,25.23,No,No,Yes,Bibb County,Alabama,Ala.
01009,"Blount County, Alabama",57704,52668,5036,8.73,50582,87.66,899,1.56,92,0.16,1095,1.9,No,12.34,No,No,Yes,Blount County,Alabama,Ala.
01011,"Bullock County, Alabama",10552,10539,13,0.12,2288,21.68,7967,75.5,84,0.8,200,1.9,Yes,78.32,Yes,No,No,Bullock County,Alabama,Ala.
01013,"Butler County, Alabama",20280,20027,253,1.25,10704,52.78,8825,43.52,203,1,295,1.45,No,47.22,No,No,Yes,Butler County,Alabama,Ala.
01015,"Calhoun County, Alabama",115883,111901,3982,3.44,84592,73,23561,20.33,1079,0.93,2669,2.3,No,27,No,No,Yes,Calhoun County,Alabama,Ala.
01017,"Chambers County, Alabama",34018,33870,148,0.44,19303,56.74,13770,40.48,312,0.92,485,1.43,No,43.26,No,No,Yes,Chambers County,Alabama,Ala.
01019,"Cherokee County, Alabama",25897,25492,405,1.56,23792,91.87,1193,4.61,86,0.33,421,1.63,No,8.13,No,No,Yes,Cherokee County,Alabama,Ala.
01021,"Chilton County, Alabama",43817,40476,3341,7.62,35321,80.61,4386,10.01,191,0.44,578,1.32,No,19.39,No,No,Yes,Chilton County,Alabama,Ala.
01023,"Choctaw County, Alabama",13287,13213,74,0.56,7468,56.21,5611,42.23,6,0.05,128,0.96,No,43.79,No,No,Yes,Choctaw County,Alabama,Ala.
01025,"Clarke County, Alabama",24847,24804,43,0.17,13213,53.18,11304,45.49,114,0.46,173,0.7,No,46.82,No,No,Yes,Clarke County,Alabama,Ala.
01027,"Clay County, Alabama",13483,13064,419,3.11,10822,80.26,1988,14.74,0,0,254,1.88,No,19.74,No,No,Yes,Clay County,Alabama,Ala.
01029,"Cleburne County, Alabama",14991,14642,349,2.33,13911,92.8,354,2.36,86,0.57,291,1.94,No,7.2,No,No,Yes,Cleburne County,Alabama,Ala.
01031,"Coffee County, Alabama",50991,47647,3344,6.56,36393,71.37,8671,17,623,1.22,1960,3.84,No,28.63,No,No,Yes,Coffee County,Alabama,Ala.
01033,"Colbert County, Alabama",54377,53071,1306,2.4,42878,78.85,8509,15.65,231,0.42,1453,2.67,No,21.15,No,No,Yes,Colbert County,Alabama,Ala.
01035,"Conecuh County, Alabama",12697,12473,224,1.76,6440,50.72,5868,46.22,14,0.11,151,1.19,No,49.28,No,No,Yes,Conecuh County,Alabama,Ala.
01037,"Coosa County, Alabama",10864,10724,140,1.29,7064,65.02,3516,32.36,0,0,144,1.33,No,34.98,No,No,Yes,Coosa County,Alabama,Ala.
01039,"Covington County, Alabama",37729,37151,578,1.53,31509,83.51,4896,12.98,176,0.47,570,1.51,No,16.49,No,No,Yes,Covington County,Alabama,Ala.
01041,"Crenshaw County, Alabama",13896,13662,234,1.68,9848,70.87,3290,23.68,232,1.67,292,2.1,No,29.13,No,No,Yes,Crenshaw County,Alabama,Ala.
01043,"Cullman County, Alabama",81316,77890,3426,4.21,75188,92.46,843,1.04,497,0.61,1362,1.67,No,7.54,No,No,Yes,Cullman County,Alabama,Ala.
01045,"Dale County, Alabama",49607,46686,2921,5.89,34820,70.19,9625,19.4,508,1.02,1733,3.49,No,29.81,No,No,Yes,Dale County,Alabama,Ala.
01047,"Dallas County, Alabama",41426,41029,397,0.96,11628,28.07,28790,69.5,163,0.39,448,1.08,Yes,71.93,Yes,No,No,Dallas County,Alabama,Ala.
